id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,balacc,logloss,auc,models_ensemble_count
openml.org/t/359955,blood-transfusion-service-center,autosklearn,1h8c_gp3,5,binary,0.70809,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:06:57,3643.9,3601.1,0.4,19.0,1229737992,,0.786667,0.593567,0.49159,0.70809,
openml.org/t/168911,jasmine,autosklearn,1h8c_gp3,3,binary,0.858837,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:06:58,3651.4,3603.5,1.1,11.0,1229737990,,0.826087,0.826532,0.414598,0.858837,
openml.org/t/189922,gina,autosklearn,1h8c_gp3,8,binary,0.995081,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:07:14,3659.2,3611.0,0.5,15.0,1229737995,,0.95873,0.958468,0.132787,0.995081,
openml.org/t/359955,blood-transfusion-service-center,autosklearn,1h8c_gp3,6,binary,0.746101,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:07:20,3655.7,3611.6,0.5,12.0,1229737993,,0.733333,0.672515,0.5137,0.746101,
openml.org/t/189922,gina,autosklearn,1h8c_gp3,9,binary,0.986815,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:07:30,3664.3,3615.1,0.6,13.0,1229737996,,0.95873,0.958871,0.17851,0.986815,
openml.org/t/190137,ozone-level-8hr,autosklearn,1h8c_gp3,2,binary,0.9073,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:07:41,3647.9,3603.3,0.3,11.0,1229737989,,0.940945,0.589548,0.213479,0.9073,
openml.org/t/190137,ozone-level-8hr,autosklearn,1h8c_gp3,1,binary,0.948792,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:07:48,3660.1,3613.9,1.0,14.0,1229737988,,0.948819,0.59375,0.281453,0.948792,
openml.org/t/190137,ozone-level-8hr,autosklearn,1h8c_gp3,3,binary,0.935399,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:07:50,3648.2,3602.6,0.7,14.0,1229737990,,0.944882,0.591649,0.15207,0.935399,
openml.org/t/359955,blood-transfusion-service-center,autosklearn,1h8c_gp3,8,binary,0.703302,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:08:08,3667.0,3625.0,0.0,8.0,1229737995,,0.72973,0.576883,0.563566,0.703302,
openml.org/t/359956,qsar-biodeg,autosklearn,1h8c_gp3,2,binary,0.860317,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:08:27,3653.3,3611.1,0.0,19.0,1229737989,,0.811321,0.782937,0.522461,0.860317,
openml.org/t/190137,ozone-level-8hr,autosklearn,1h8c_gp3,6,binary,0.887658,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:08:31,3653.0,3609.8,0.1,6.0,1229737993,,0.936759,0.5,0.399634,0.887658,
openml.org/t/359961,mfeat-factors,autosklearn,1h8c_gp3,4,multiclass,-0.143952,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:08:34,3649.0,3603.8,0.2,7.0,1229737991,,0.96,0.96,0.143952,,
openml.org/t/359955,blood-transfusion-service-center,autosklearn,1h8c_gp3,7,binary,0.77924,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:08:34,3702.3,3657.7,1.2,27.0,1229737994,,0.786667,0.726608,0.537029,0.77924,
openml.org/t/359961,mfeat-factors,autosklearn,1h8c_gp3,5,multiclass,-0.0763174,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:08:38,3643.6,3598.7,0.1,6.0,1229737992,,0.975,0.975,0.0763174,,
openml.org/t/190137,ozone-level-8hr,autosklearn,1h8c_gp3,7,binary,0.919831,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:08:38,3641.7,3599.6,0.0,15.0,1229737994,,0.948617,0.62289,0.284636,0.919831,
openml.org/t/168868,APSFailure,mljarsupervised_benchmark,1h8c_gp3,0,binary,0.992495,auc,aws.docker,0.11.0,{'mode': 'Compete'},2.0.2,2021-11-22T23:08:45,3711.1,3651.1,45.2,25.0,1835214300,,0.9825,0.514599,0.0165579,0.992495,
openml.org/t/168910,fabert,autosklearn,1h8c_gp3,1,multiclass,-0.759458,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:08:48,3660.3,3605.9,1.3,8.0,1229737988,,0.731796,0.709014,0.759458,,
